year,state,genre,event_count
2022,RI,folk,1
2022,RI,hard rock,1
2022,RI,hardcore,1
2022,RI,hardcore punk,1
2022,RI,indie rock,1
2022,RI,installation art,1
2022,RI,pop rock,1
2022,RI,post-hardcore,1
2022,RI,psychedelic rock,2
2022,RI,rock music,2
2022,SC,alternative,1
2022,SC,alternative hip hop,1
2022,SC,alternative metal,1
2022,SC,alternative rock,1
2022,SC,death metal,1
2022,SC,gangsta,1
2022,SC,grindcore,1
2022,SC,hard rock,1
2022,SC,hardcore,4
2022,SC,indie,1
2022,SC,metal,1
2022,SC,metalcore,2
2022,SC,soul,1
2022,SC,unknown,3
2022,SD,contemporary christian,1
2022,SD,contemporary country,1
2022,SD,country,1
2022,SD,crunk,1
2022,SD,folk,1
2022,SD,g-funk,1
2022,SD,heavy metal,1
2022,SD,hip hop,2
2022,SD,pop,1
2022,SD,punk,2
2022,SD,punk rock,1
2022,SD,unknown,6
2022,SD,vocal,1
2022,TN,americana,1
2022,TN,blues rock,1
2022,TN,comedy,1
2022,TN,contemporary country,2
2022,TN,country,9
2022,TN,country music,1
2022,TN,country pop,1
2022,TN,jam band,1
2022,TN,jazz-rock,1
2022,TN,pop,1
2022,TN,soul,1
2022,TX,alternative dance,1
2022,TX,alternative hip hop,1
2022,TX,big band,1
2022,TX,country,2
2022,TX,country rap,1
2022,TX,electro house,1
2022,TX,experimental,1
2022,TX,gothic,1
2022,TX,hardstyle,1
2022,TX,indie pop,1
2022,TX,indie rock,1
2022,TX,psychedelic rock,1
2022,TX,psychobilly,1
2022,TX,soul,2
2022,TX,unknown,4
2022,UT,alternative rock,1
2022,UT,bluegrass music,2
2022,UT,classical crossover,2
2022,UT,comedy,3
2022,UT,dance,1
2022,UT,drag queen,1
2022,UT,hard rock,1
2022,UT,new age,5
2022,UT,pop,1
2022,UT,punk,1
2022,UT,vocal,1
2022,UT,vocal house,1
2022,VA,alternative rock,1
2022,VA,bluegrass,1
2022,VA,country,1
2022,VA,folk,3
2022,VA,folk rock,2
2022,VA,hip hop,2
2022,VA,indie rock,1
2022,VA,jam band,3
2022,VA,new wave,1
2022,VA,psychedelic,1
2022,VA,punk,1
2022,VA,unknown,3
2022,VT,black metal,1
2022,VT,disco,3
2022,VT,emo,1
2022,VT,folk,1
2022,VT,garage rock,1
2022,VT,indie,2
2022,VT,indie pop,1
2022,VT,indie rock,1
2022,VT,new wave,2
2022,VT,noise rock,1
2022,VT,reggae,1
2022,VT,rock,4
2022,VT,singer-songwriter,1
2022,WA,alternative rock,2
2022,WA,crunk,1
2022,WA,doom metal,1
2022,WA,folk,2
2022,WA,funk,1
2022,WA,hardcore punk,1
2022,WA,indie pop,1
2022,WA,math rock,1
2022,WA,punk rock,2
2022,WA,rock,2
2022,WA,smooth jazz,5
2022,WA,unknown,1
2022,WI,alternative pop,1
2022,WI,alternative rock,4
2022,WI,bluegrass,1
2022,WI,electronica,1
2022,WI,emo,1
2022,WI,folk,1
2022,WI,garage rock,1
2022,WI,heavy metal,2
2022,WI,indie,1
2022,WI,indie pop,1
2022,WI,new wave,1
2022,WI,nu metal,4
2022,WI,punk,1
2022,WV,alternative rock,2
2022,WV,contemporary country,1
2022,WV,country,2
2022,WV,country music,1
2022,WV,hard rock,2
2022,WV,heavy metal,1
2022,WV,new age,2
2022,WV,punk rock,1
2022,WV,reggae,1
2022,WV,rock,2
2022,WV,singer-songwriter,1
2022,WV,soul-jazz,1
2022,WV,thrash metal,1
2022,WV,unknown,2
2022,WY,alternative rock,2
2022,WY,country,4
2022,WY,country music,1
2022,WY,crunk,1
2022,WY,death metal,3
2022,WY,experimental,1
2022,WY,folk rock,1
2022,WY,g-funk,1
2022,WY,grindcore,1
2022,WY,hip hop,2
2022,WY,new age,1
2022,WY,thrash metal,1
2022,WY,vocal,1
2023,AK,#chicagolivemusic,1
2023,AK,acoustic,1
2023,AK,alternative country,1
2023,AK,big band,2
2023,AK,bluegrass,2
2023,AK,contemporary folk,5
2023,AK,country music,1
2023,AK,electronic,2
2023,AK,hip hop,1
2023,AK,post-hardcore,1
2023,AK,singer-songwriter,2
2023,AK,unknown,1
2023,AL,alternative rock,1
2023,AL,beatdown hardcore,1
2023,AL,bluegrass,1
2023,AL,crossover thrash,1
2023,AL,death metal,2
2023,AL,downtempo,1
2023,AL,electronic,1
2023,AL,garage rock,1
2023,AL,hardcore,1
2023,AL,hardcore punk,2
2023,AL,metalcore,1
2023,AL,noise rock,1
2023,AL,post-hardcore,1
2023,AL,power violence,1
2023,AL,rock and roll,1
2023,AL,unknown,3
2023,AR,brutal death metal,1
2023,AR,country rock,1
2023,AR,crossover thrash,1
2023,AR,dance,1
2023,AR,death metal,2
2023,AR,gangsta rap,1
2023,AR,hard rock,1
2023,AR,hardcore,3
2023,AR,hardcore punk,3
2023,AR,indie,1
2023,AR,metalcore,3
2023,AR,post-hardcore,1
2023,AR,sludge metal,1
2023,AZ,a cappella,1
2023,AZ,dubstep,2
2023,AZ,electronic,3
2023,AZ,emo,1
2023,AZ,experimental,1
2023,AZ,garage rock,1
2023,AZ,hardcore,1
2023,AZ,hip hop,1
2023,AZ,house,1
2023,AZ,indie rock,1
2023,AZ,metalcore,1
2023,AZ,pop,1
2023,AZ,pop punk,1
2023,AZ,punk,2
2023,AZ,punk rock,1
2023,AZ,yacht rock,1
2023,CA,alternative r&b,1
2023,CA,bluegrass music,1
2023,CA,blues,1
2023,CA,dance,1
2023,CA,edm,2
2023,CA,funk,1
2023,CA,indie,1
2023,CA,jazz,2
2023,CA,música popular brasileira,1
2023,CA,pop,1
2023,CA,punk,1
2023,CA,punk rock,1
2023,CA,rock,1
2023,CA,soul,2
2023,CA,tech house,1
2023,CA,trip hop,1
2023,CA,unknown,1
