artist_name,mbid,unknown_records
Emo Nite,903193fe-bc33-407b-8bef-9e7e3babe753,1
Emo Night Karaoke,3c8b0e30-100d-4776-bee0-b2b65f1a3242,1
Elvie Shane,cb112ae8-4e88-4622-9ac8-8cdf37039806,1
Ellen Pieroni & The Encyclopedia of Soul,3bcbfd85-0382-4912-bd66-09ba7ac5b219,1
Echoes of Pink Floyd,736a50aa-2d24-40d7-9c59-1b764afd3036,1
Easy Honey,9a56536e-5edd-4155-9435-20d12b398b24,1
EMOcean Avenue,5ea1ef20-54e3-4abc-b3ab-12e3ac4ca5f6,1
Dustin Smith & the Daydreamers,84f52368-19bd-4fcf-be4f-14173d55969e,1
Gannon Fremin & CCREV,b3f3497d-5777-4ed3-88e4-f3c890aaa820,1
Galactic Spectre,bf98fdd5-6039-4ba7-8850-58acf26a1b48,1
Gage Devall,dcb1885f-dddc-44d7-a185-e4ca0e4e6c69,1
Gabe Boeh,51a4007a-0206-4570-959c-d5763125c9ae,1
G Jones & EPROM,734286dd-0c41-4e81-95de-94003c9cdffb,1
Fryar,33d7a84e-0aac-45fa-a54e-1c3cddd8ef3b,1
Friends of the Phamily,0dbada64-f143-43cc-b1d6-df23ed3377f5,1
Friends of Jerry,73c1bdfa-1397-4101-b560-56701e0d6f3b,1
Friendly Jeans,309858bb-b51f-42c2-9d58-015d648d7969,1
Freelance Sweatpants,60781c0c-00f3-46bb-9bb1-deb648bb697f,1
Frantic Anarchy,e598b743-a634-48b9-80fd-3a4f3fefac97,1
Found A Job - A Tribute to Talking Heads,1cc2a960-4d20-458f-9f9b-13ea8393ba2b,1
Flywlkr,c8005a9e-c03b-4c6a-b62d-25695fe71474,1
Flicker//Fade,0d67d1d1-1c3a-46be-8f10-46a40b6b4519,1
Flatlands Trio,d45b7f71-0e6f-4c2d-a28a-f3ec80166ce9,1
First To Burn,35b03a95-09e9-4653-8087-93baa5cf8c7a,1
Dana Lawrence,80352507-11ba-4efd-a72c-edc4676c791c,1
Dan and Phil,0539ceb1-0a1e-4358-a8a4-df6a08330823,1
Dan Orr,8117882c-a6f0-46be-8573-e18a5a23bb95,1
Dan Hovey,c88ae83a-8cbd-4da7-bc84-ab4914cce427,1
DJ Spider,83ae9600-e271-4dd3-a432-3f3d08a6f682,1
DJ Prenup,7e88da5f-bf0e-47d1-949f-aa446dfad656,1
DJ Flatline,4276e8fd-5797-4052-9e7f-a71c84399fb5,1
DJ Boondocks,0609aa62-8635-4d60-9ea5-4a9ae104642f,1
D.L. Hughley,da392a43-2b0f-4e06-a84d-dbb5008d088a,1
Curse of Flesh,4dc45f79-d367-4ee2-b521-4b016628f54c,1
Cullen Cammack,0979bde8-576e-4875-8502-5411d89cb1b6,1
Crypt.ID,637b2bef-5224-4153-949a-9be781154bd8,1
George Porter Jr. Trio,695d094e-ece4-4a9a-ae71-608b29bc8fb0,1
George Michael Reborn,680e0103-3143-4bb8-9d40-5ed3581b7ed3,1
Gavyn Bernhardt,b6319132-d9a3-41b2-b576-dfb2301228c2,1
Gardella,2814c493-5504-4bae-877c-320c157d2941,1
Halle Kearns,79612e9f-af9b-4707-b56d-3128948dde5b,1
Half Step – GD Tribute,5cde3eb9-d55c-402a-b371-ba6fb34489f9,1
HEYZ,af9ce2fc-48ad-4818-9969-49dcd5db6651,1
Guess Again,08a1cd13-bc63-42d0-862f-a775fcc9161f,1
Grub Time,219a8fce-2560-401d-bb9c-4e9c6865e36e,1
Grey Areas,88acc4fc-f051-4e80-94b3-8042a9875876,1
GreenRidge,a7abcf3a-3828-49fe-aab8-2ca6ebf7d8aa,1
Grateful for Biggie,121fb47a-b12b-44d4-ad3e-7a07b2c60945,1
Grady Spencer and the Work,37a54860-0e75-437d-b686-cc019fa6bb9e,1
Gorgatron,23caeef7-b9c1-48aa-9fdb-5ac41dbe8c99,1
Good Morning Bedlam,e85044fb-d71a-4a1d-b49a-a7127eab6d7e,1
God Tongue,ba62f360-31d6-438d-9d0c-7c11e58de47d,1
Gimme Gimme Disco,eeb55a30-0614-4cb4-b4a9-378c21b15fe1,1
David Childers and the Serpents,1c88a3c6-f4ec-4a5f-b6d7-4224384db302,1
Dave Gutter,ed32056b-bb09-4f21-9509-6ee3a92bf50a,1
Dante High,da3174a3-0c25-412f-8083-bf4cd1cbd7f5,1
Iron Law,5cbe88fb-0a6e-4b25-9736-3e228822549f,1
Invisible Homes,58ee8ce2-895b-4f92-8dd5-7d2136378613,1
Inside Voices,b18df894-bfcd-4bb2-b9bb-46b6a6f634ab,1
In Periculum,541e1e1a-ae78-40c4-9504-dbf6121cb4b6,1
Imprint,dc01b0c6-2e94-4613-aa32-a91d3d47ae4b,1
Hotel Burgundy,e4ec01e9-e01f-4660-aa73-11a098309fa2,1
Honey Bee,e2989ae8-a940-4e8b-a790-10f0d84ee68e,1
Honest Dolla,da5f3dc3-15d2-4b27-8a2c-f4d3c577119c,1
Hollywood Nights - The Bob Seger Experience,eb6c3d9c-3161-4e4f-9f22-3a005e2d01e0,1
Holler Choir,dafb12a8-4789-4b84-93fa-c43bf04449cb,1
HoMiCyDe,12c7ee1b-96a4-40a6-9565-d86cfa2ca1a6,1
Hippies & Cowboys,8cc5b76c-8a92-4701-bcab-ec864c9775ce,1
Hemlock Row,92862d64-971f-4ca5-982a-a3ed32ec5ee9,1
Hello Sister,f271248f-b749-46c8-83c0-e6aab071a580,1
Heavy The World,cf509558-98cb-4628-9e5a-8e4340a9f1cf,1
Harpie and the Damned,163bd1bd-c3ee-4261-9fff-3b410dea4fce,1
Cosmic Hillbilly Experience,c239bcdd-bb75-4c0c-a6aa-2f231ebc284b,1
Conor Donohue,f3ea8d95-72d0-4859-b72e-e23f27953726,1
Connor Garvey,d7b93799-38f0-4136-9b29-65021124336d,1
Congress The Band,072131db-d0d0-4e62-86fd-f0e2d1ba89f2,1
Completely Unchained - The Ultimate Van Halen Tribute,6fc4b726-8e88-4ff6-a6a3-a694a6f71fc5,1
Coleson Dilbeck,d5c3dce0-fdaf-471e-94b8-73c185d6bc97,1
Cole Barnhill,0b33a6b7-f428-43f6-b3d1-67c8451e9efc,1
Clyde and Clem's Whiskey Business,a4f77f24-baa1-472c-b392-ba282b5e6106,1
Clownvis Presley,79414922-c4b9-4109-aee1-1513c02e9153,1
Clocks and Clouds,878da1d3-7e83-4022-958c-d83b8ab86e4c,1
Jeff Crosby,e8cf7719-e3e7-4838-8131-0558f487ce3e,1
Jason Ingriselli & The Miles North,f59c13d1-0a23-46b9-808d-d7b3cd541db2,1
Jarod Clemons & The Late Nights,1349d100-fa96-44d5-8e2e-4e38ccbd56fd,1
Jamie Kennedy,a1e1ceb3-0ca4-462d-9db6-8f3f3b8e7988,1
Jacoozy,57d6b78a-b9ba-4202-b28d-9fcc54f697db,1
JACK Quartet,706e1bc8-aab9-4e44-9c70-2e2161e6de4e,1
Julia Neville,8660ce7d-660d-49f2-a2cb-57fc40069b8d,1
Josey Scott’s Saliva,3b6ec44b-1000-4b42-8078-6a2898730532,1
Johnny Mainstream,53c3b6c7-17ff-4a44-bd91-050a2b9028cf,1
John Train,70e414e1-f35f-4ad6-b6b5-328146ee516d,1
John Primer & The Real Deal Blues Band,c07731e6-4193-4bdb-b0a7-823c8925bc59,1
John Mailander's Forecast,2bb7e629-46f4-4a95-9c01-469e8bd2ea19,1
John Kadlecik Band,6ad61e9e-bee1-4003-815e-c0dce88bcb4a,1
John Hiatt and Lyle Lovett,9a2cf537-05e9-42b5-b9df-ca7351327f43,1
John Caparulo,df825625-f641-4eff-ba15-85f4552c6f02,1
Joe Krown Trio +1 featuring Papa Mali,1ed65f57-3259-4250-840b-b57a03853d79,1
Joe Gatto,b446751d-2831-423f-8f6b-f1a246eb9c20,1
Joe Barnholt,c2675979-509f-43ea-ad59-df0d530df756,1
Jim Swim,ae404df4-c19c-4336-8351-58db117c2656,1
Jim Cornelison,47aac479-86e1-4b0d-88c9-f550e27aa347,1
Crooked Coast,24f9cd40-603c-45aa-a0c6-d468800d1c52,1
Cosmo Alleycats,72293277-7f85-44a8-892f-145e7fa33672,1
King Ramses,99df3e94-ca87-4b59-8b3f-4e335f9bd9b4,1
Kidd G,0f87e42d-f797-4cc3-bec6-03b5bc7acaa2,1
Kermit Ruffins & the Barbecue Swingers,8400466f-4917-4a9f-a8fc-cd40bc2e0fc3,1
Kenny Chesney & Grace Potter,c25981ec-afe4-41bd-aaa0-267e9ffc1a1c,1
Kelli Baker Band,4755c577-14cd-45fe-9792-b3a680fa0ba5,1
Keilana,d2b8465e-5020-4955-b21d-3ac24bbae7d3,1
Kathy Griffin,090d4dee-0248-4f09-987a-f9b78dd30e1f,1
Karma Gambit,7f7ff3cf-44cf-44cf-9b0d-44a592dfbcec,1
Karl’s Garcia Band,e3c0605d-ce8f-4679-b372-30d9c91ac6e4,1
Karl Denson’s Tiny Universe,ff24a74c-237b-481b-adb5-7f4f6171f5f5,1
Karen Peck and New River,c926a04a-df7f-43b0-8e5b-8976ab4d3e8f,1
Kanekoa,45106321-6d1b-4e2a-acb1-da85a49a70d7,1
Kaleb Sanders,7db0110f-cc59-4a5e-91f6-c5b17be499d6,1
KENMUJO,67f53ffc-7e2b-4d2c-b1c1-4ace4366c461,1
Juniper Honey,a98168e4-6ad5-4877-bb47-34a19a141f80,1
Julie Eddy,331f2273-19db-4989-b6c0-93a00be42665,1
Lorelei Taylor,756835ab-92ab-4189-91cf-89060b4dd1ae,1
Looom,1921a6d6-e3b4-4299-8ced-85d5773dd8c3,1
Logan Allen,c928dbce-a43c-46fc-aac7-f3788dfb0ea0,1
Live at the Fillmore,c9b166aa-c1de-438e-999e-0e497f4d487d,1
Lilith’s Demise,e430f7a4-c2dd-42c0-9dbd-0402aac59efb,1
Levy Okun,7cb1c14d-39bd-410d-8d0c-3b3a34ab2d8b,1
Legion of Prog,4b7d6341-535c-4105-854c-a5791b83a4c8,1
Laker,f32a3832-13ed-4422-b7d7-c19dcdf5a62a,1
Laith Al-Saadi,b5b5bb27-56e2-4a8c-825e-b39525dc4bc8,1
LUCKY The Unfortunate,e57f1b1d-fc6c-4cbf-9f1a-19c74546ece4,1
LOVE BY NUMB3RS,0344b965-240d-439c-bbaa-a4754544a60e,1
LIVE WIRE - The Ultimate AC/DC Experience,4b03ef16-b406-4010-8262-90240e073d61,1
LDNL,4093d198-179e-4749-83e2-f70eb3396ed3,1
LARCɆNIA ROɆ,10409269-c2f2-4211-9002-fb9b13545560,1
Kyle Walker,883621e9-dc1a-42a2-a804-86ddab00a8df,1
Kobi Reese,31904ac9-7f88-4b1f-8db0-62463b61e74e,1
Mercury Dimes,cdcf7713-60bc-4da6-8f74-aab9d1688b40,1
McKenzi Brooke,42916d40-d2ad-46a3-b0dc-bbdd1e1dc17b,1
McCoy Moore,5997b96c-1588-4417-baaf-40cfc5c11f48,1
Max Weinberg's Jukebox,f0723a4e-f93d-4257-b799-1c24835b1852,1
Mathias Lattin,2f82b802-0cbc-4ec2-805a-775232e000c1,1
Masticated,21565a51-b8c9-4e43-a40b-ae73c5855ccf,1
Mario Abney,2a635483-1074-48a1-ab3f-1bb6c4ef3774,1
Marie Herrington,d2f0a4fe-6c75-481b-9429-345142b91aba,1
Magical Mystery Doors,43df8bef-aa40-487b-ae50-5159be429ab1,1
Mac Powell & Matt Maher,22bec07a-984d-46b4-af3b-bec98a9fb6d2,1
MK,bb717754-43b4-45d0-936b-4fea0290f1da,1
Lumasi,f2f37484-79f5-4825-92d6-6d9c385e486f,1
Lucati,99eefdbd-bcc4-4317-b013-c726fca6d3f0,1
Lowerline,1d37b75a-1520-414e-90e5-50c4ea5770e8,1
Love Band,11ed4af6-6c76-43cc-8bf6-6e7f03988ea6,1
Los Domingueros,1246ccba-0f32-4fa0-a1c8-f1e22a08af03,1
Nat Myers,3df37b59-161c-4a82-b76b-a5b9b69bdf1c,1
NVSN,92d77742-6f1d-49cf-84ed-0cdb1e1c3599,1
NRL CJ,28a0bc18-c0a4-457c-8768-e49cfe4d1b88,1
N2N,7b016dc1-a181-46ac-9b0b-fe0eab9ad0c8,1
Muskies,d47c7fbb-c67b-404f-ad29-45307a84ae9b,1
Morgin Madison,15312a36-2ded-4cb3-a717-8dcec48d92e2,1
Moravian,ee63d8af-a8ad-42ff-b657-26cb544a28f2,1
Mopsy,29b69d1e-2b03-4d44-ae02-a88bb11a3103,1
Molten,bf0b5c3a-321a-4f0d-9faa-07e8f855e6d4,1
Modern Joey,76c08923-713e-4b84-a58f-e00ec87b7cd3,1
Mini KISS,56e74b81-17c4-46e8-ac3e-02932b1ec048,1
Mile 57,54dc8585-eb6a-4918-96ed-08f9bcfe90ac,1
Mighty Menace,3030832e-6412-4e27-8248-b4d1d5588693,1
Michael Maddox Music,f39a643f-5eb7-4051-82f8-08b058ce4319,1
Mic Harrison,47ae300b-a2a5-40b2-b5ac-ae8b250bf883,1
Mexican Gunfight,8bd03f19-78a7-4195-90cd-c9a3502e401e,1
Cleansing Of The Temple,e3616fa1-9e92-48ed-9ebf-1558831cddac,1
Chronic Wasting Disease,1efaf7ea-8d45-4e6d-9d04-8ae35b8ead69,1
Chris Frantz & Tina Weymouth,b77d4419-5769-4f05-8f05-cfd97ed96bdc,1
Chris & Spigs' Rock & Roll Circus,dce40807-1d96-4908-a187-a167cddce29d,1
Chicken Wire Empire,8be20340-e13e-4791-8e1a-bad0d25748d0,1
Chevy Chase,7573df58-aa76-4b1c-9035-8a0ed0d4e994,1
Chesticle,4c340836-5963-49ac-afc3-e003bd66d615,1
Chegoya,ed067fb1-d885-4acb-a5bb-73b039011263,1
Chasing the Devil,4e0f90e5-9a7f-407c-81e9-31ef375bec15,1
Chainsaw and the Fine Particulates,b8db0440-1fba-4ea3-87fb-ea2d73ba6b93,1
Celltower,d58330a5-d426-4a38-9f5c-b82c72a5b6b3,1
Cary Beare,6c47207f-9d19-4feb-a24e-ead3d73e4794,1
Candace Campana,6f33bdd4-e763-452c-85fd-cafecb0e9321,1
Caiked Up,134f26d3-0949-46fb-9c5b-94e25ed938e9,1
Necrogarden,e286d87d-65f1-4aa6-b7d6-35429e62e110,1
Natalie Brooke,a10e5cab-8c33-49f5-ad07-21e80d24b868,1
Paranormal Slaughter,c7de0d19-d57b-4289-9687-3e1f3d50fd96,1
PARKiNG,437fc60e-281d-4f36-8a0d-b0e923959dce,1
Out of Shape,10ed9d82-1210-460f-b5a7-8050367aedbd,1
Organ Fairchild,bd1dcb5b-ab45-4a00-943e-23f2d16add26,1
Option Stop,0b4801b2-8cc1-4350-a6a3-fb2ff0b4d4d1,1
Ole 60,d0da565b-64c4-4e4f-bebf-f4bb7c56ef30,1
Olde(r) Love(rs),5b2c392d-2306-4895-9511-eb71d3cad080,1
Oh Kee Pa Orchestra,bab47fda-23d9-4ce3-b5c1-b2fe488517e9,1
