year,state,genre,genre_detailed,event_count
2022,SC,Hip-Hop/Rap,gangsta,1
2022,SC,Metal,alternative metal,1
2022,SC,Metal,death metal,1
2022,SC,Metal,grindcore,1
2022,SC,Metal,metal,1
2022,SC,Metal,metalcore,2
2022,SC,Punk/Hardcore,hardcore,4
2022,SC,R&B/Soul/Funk,soul,1
2022,SC,Rock,alternative,1
2022,SC,Rock,alternative rock,1
2022,SC,Rock,hard rock,1
2022,SC,Rock,indie,1
2022,SC,Unknown,unknown,3
2022,SD,Christian/Gospel,contemporary christian,1
2022,SD,Country/Folk/Americana,contemporary country,1
2022,SD,Country/Folk/Americana,country,1
2022,SD,Country/Folk/Americana,folk,1
2022,SD,Hip-Hop/Rap,crunk,1
2022,SD,Hip-Hop/Rap,g-funk,1
2022,SD,Hip-Hop/Rap,hip hop,2
2022,SD,Metal,heavy metal,1
2022,SD,Other/Uncategorized,vocal,1
2022,SD,Pop,pop,1
2022,SD,Punk/Hardcore,punk,2
2022,SD,Punk/Hardcore,punk rock,1
2022,SD,Unknown,unknown,6
2022,TN,Comedy/Spoken Word,comedy,1
2022,TN,Country/Folk/Americana,americana,1
2022,TN,Country/Folk/Americana,contemporary country,2
2022,TN,Country/Folk/Americana,country,9
2022,TN,Country/Folk/Americana,country music,1
2022,TN,Country/Folk/Americana,country pop,1
2022,TN,Jazz/Blues,blues rock,1
2022,TN,Jazz/Blues,jazz-rock,1
2022,TN,Pop,pop,1
2022,TN,R&B/Soul/Funk,soul,1
2022,TN,Rock,jam band,1
2022,TX,Country/Folk/Americana,country,2
2022,TX,Electronic/Dance,alternative dance,1
2022,TX,Electronic/Dance,electro house,1
2022,TX,Electronic/Dance,hardstyle,1
2022,TX,Hip-Hop/Rap,alternative hip hop,1
2022,TX,Hip-Hop/Rap,country rap,1
2022,TX,Jazz/Blues,big band,1
2022,TX,Other/Uncategorized,experimental,1
2022,TX,Other/Uncategorized,gothic,1
2022,TX,Pop,indie pop,1
2022,TX,Punk/Hardcore,psychobilly,1
2022,TX,R&B/Soul/Funk,soul,2
2022,TX,Rock,indie rock,1
2022,TX,Rock,psychedelic rock,1
2022,TX,Unknown,unknown,4
2022,UT,Classical,classical crossover,2
2022,UT,Comedy/Spoken Word,comedy,3
2022,UT,Comedy/Spoken Word,drag queen,1
2022,UT,Country/Folk/Americana,bluegrass music,2
2022,UT,Electronic/Dance,dance,1
2022,UT,Electronic/Dance,new age,5
2022,UT,Electronic/Dance,vocal house,1
2022,UT,Other/Uncategorized,vocal,1
2022,UT,Pop,pop,1
2022,UT,Punk/Hardcore,punk,1
2022,UT,Rock,alternative rock,1
2022,UT,Rock,hard rock,1
2022,VA,Country/Folk/Americana,bluegrass,1
2022,VA,Country/Folk/Americana,country,1
2022,VA,Country/Folk/Americana,folk,3
2022,VA,Country/Folk/Americana,folk rock,2
2022,VA,Electronic/Dance,new wave,1
2022,VA,Hip-Hop/Rap,hip hop,2
